Que_No,Que_Type,Answer_Key,Difficulti_Level,Correct_Marks,Wrong_Marks(-ve),Subject,Chapter,Topic
1,Single Correct,B,Easy,1,1,Physics,,
2,Single Correct,B,Easy,1,1,Physics,,
3,Single Correct,A,Easy,1,1,Physics,,
4,Single Correct,A,Easy,1,1,Physics,,
5,Single Correct,C,Easy,1,1,Physics,,
6,Single Correct,A,Easy,1,1,Physics,,
7,Single Correct,A,Easy,1,1,Physics,,
8,Single Correct,D,Easy,1,1,Physics,,
9,Single Correct,A,Easy,1,1,Physics,,
10,Single Correct,C,Easy,1,1,Physics,,
11,Single Correct,C,Easy,1,1,Physics,,
12,Single Correct,A,Easy,1,1,Physics,,
13,Single Correct,A,Easy,1,1,Physics,,
14,Single Correct,D,Easy,1,1,Physics,,
15,Single Correct,B,Easy,1,1,Physics,,
16,Single Correct,B,Easy,1,1,Physics,,
17,Single Correct,B,Easy,1,1,Physics,,
18,Single Correct,B,Easy,1,1,Physics,,
19,Single Correct,A,Easy,1,1,Physics,,
20,Single Correct,A,Easy,1,1,Physics,,
21,Single Correct,C,Easy,1,1,Physics,,
22,Single Correct,A,Easy,1,1,Physics,,
23,Single Correct,D,Easy,1,1,Physics,,
24,Single Correct,A,Easy,1,1,Physics,,
25,Single Correct,D,Easy,1,1,Physics,,
26,Single Correct,A,Easy,1,1,Physics,,
27,Single Correct,C,Easy,1,1,Physics,,
28,Single Correct,C,Easy,1,1,Physics,,
29,Single Correct,A,Easy,1,1,Physics,,
30,Single Correct,A,Easy,1,1,Physics,,
